,Date,Station,Precip,Temp Max,Temp Min,Wind Speed,Soil Temp Max,Soil Temp Min,Solar,Humidity Max,Humidity Min
61,1987-07,FRESNO.A,0.0,91.65,59.05,5.7,76.7,74.0,649.5,65.905,13.255
62,1987-08,FRESNO.A,0.0,95.806,61.774,4.677,77.129,74.355,581.258,71.745,12.465
63,1987-09,FRESNO.A,0.0,90.828,57.517,3.759,73.724,71.379,440.862,73.21,14.903
64,1987-10,FRESNO.A,0.028,83.065,55.0,3.387,69.065,67.29,323.323,83.152,34.81
65,1987-11,FRESNO.A,0.017,63.714,42.179,3.143,59.036,57.429,195.107,96.093,60.65
66,1987-12,FRESNO.A,0.018,58.368,38.684,4.211,51.632,49.842,138.053,93.368,62.932
67,1988-01,FRESNO.A,0.046,56.29,37.323,3.452,47.71,45.581,173.839,95.539,66.374
68,1988-02,FRESNO.A,0.031,67.69,37.0,2.483,50.828,47.172,294.483,94.269,41.493
69,1988-03,FRESNO.A,0.003,71.9,41.633,4.167,58.067,53.833,461.533,88.24,30.25
70,1988-04,FRESNO.A,0.085,74.3,48.267,4.667,63.367,59.367,448.667,86.687,34.63
71,1988-05,FRESNO.A,0.006,83.571,51.107,4.036,69.214,64.25,662.714,88.543,26.721
72,1988-06,FRESNO.A,0.003,90.267,58.7,5.967,73.633,69.333,680.5,84.417,28.663
73,1988-07,FRESNO.A,0.001,100.581,65.968,5.194,77.968,73.774,702.0,83.806,20.039
74,1988-08,FRESNO.A,0.0,95.613,62.516,4.516,77.613,73.742,602.226,90.768,25.865
75,1988-09,FRESNO.A,0.0,92.12,58.32,3.68,75.32,72.04,498.88,93.908,25.404
76,1988-10,FRESNO.A,0.0,82.389,48.667,2.667,67.667,64.111,323.722,97.461,44.561
77,1988-11,FRESNO.A,0.066,64.9,42.633,3.8,60.167,57.867,205.9,98.313,62.957
78,1988-12,FRESNO.A,0.096,54.964,36.393,3.429,52.321,50.5,136.357,97.771,70.493
79,1989-01,FRESNO.A,0.017,55.867,31.233,3.133,47.3,45.333,196.867,100.0,61.993
80,1989-02,FRESNO.A,0.054,60.25,37.429,3.679,50.25,46.571,254.321,99.571,54.939
81,1989-03,FRESNO.A,0.079,69.871,45.194,4.71,54.129,52.226,374.774,97.923,49.323
82,1989-04,FRESNO.A,0.003,81.233,50.033,4.833,67.033,61.867,549.6,95.857,40.137
83,1989-05,FRESNO.A,0.031,82.393,52.679,5.357,71.464,66.643,622.143,89.543,36.0
84,1989-06,FRESNO.A,0.0,89.345,58.621,5.655,78.414,71.724,703.966,77.866,35.497
85,1989-07,FRESNO.A,0.0,94.774,61.258,5.581,80.226,74.613,700.161,73.387,33.284
86,1989-08,FRESNO.A,0.001,91.613,59.452,4.871,78.839,73.645,613.323,84.152,38.265
87,1989-09,FRESNO.A,0.029,86.667,55.933,4.333,74.467,70.1,484.9,91.077,40.373
88,1989-10,FRESNO.A,0.017,77.0,48.1,3.667,64.5,62.0,376.0,93.493,43.173
89,1989-11,FRESNO.A,0.021,68.5,37.5,2.533,54.967,53.533,254.467,97.92,46.943
90,1989-12,FRESNO.A,0.0,54.484,31.29,2.581,47.871,47.129,164.065,99.219,64.145
91,1990-01,FRESNO.A,0.115,55.839,34.097,3.548,46.71,45.645,186.29,97.31,61.345
92,1990-02,FRESNO.A,0.062,58.5,36.036,4.857,47.0,45.929,292.571,93.489,47.946
93,1990-03,FRESNO.A,0.028,67.767,43.5,4.167,53.433,52.2,399.233,94.337,48.003
94,1990-04,FRESNO.A,0.037,76.667,49.767,5.133,61.267,60.033,537.333,89.62,43.363
95,1990-05,FRESNO.A,0.057,78.935,51.935,5.452,67.452,65.129,628.355,83.081,41.248
96,1990-06,FRESNO.A,0.0,88.045,57.364,5.955,74.409,70.227,728.091,68.373,30.891
97,1990-07,FRESNO.A,0.0,95.613,64.839,5.613,78.935,74.323,688.323,66.013,34.206
98,1990-08,FRESNO.A,0.0,94.947,65.947,5.737,79.579,75.842,599.158,70.389,37.774
99,1990-09,FRESNO.A,0.004,85.316,56.842,4.526,68.474,66.316,457.263,82.168,42.537
100,1990-10,FRESNO.A,0.0,81.968,48.161,3.581,64.742,61.387,365.129,78.571,36.874
101,1990-11,FRESNO.A,0.016,66.567,36.133,3.2,56.067,53.1,251.133,83.117,40.82
102,1990-12,FRESNO.A,0.024,53.065,28.355,2.968,46.903,44.548,195.613,93.387,52.49
103,1991-01,FRESNO.A,0.004,57.548,34.355,2.839,46.516,43.935,187.548,94.071,56.532
104,1991-02,FRESNO.A,0.042,68.321,41.0,3.964,50.929,47.536,294.0,94.621,50.389
105,1991-03,FRESNO.A,0.272,59.742,41.871,5.774,51.548,48.065,331.645,92.158,57.91
106,1991-04,FRESNO.A,0.0,70.5,44.333,6.6,59.667,54.3,578.133,90.267,45.477
107,1991-05,FRESNO.A,0.001,77.194,49.613,6.452,65.903,60.226,636.0,80.49,40.074
108,1991-06,FRESNO.A,0.0,86.367,56.367,5.633,73.633,66.833,691.633,64.373,31.48
109,1991-07,FRESNO.A,0.0,95.29,64.548,4.935,76.645,71.452,659.613,66.626,33.661
110,1991-08,FRESNO.A,0.0,89.935,61.032,5.129,74.097,68.871,574.0,66.161,32.432
111,1991-09,FRESNO.A,0.0,92.393,60.714,3.786,72.75,68.036,471.607,71.507,34.311
112,1991-10,FRESNO.A,0.024,82.536,52.214,3.571,66.143,62.429,362.393,76.743,38.975
113,1991-11,FRESNO.A,0.003,66.833,40.733,3.3,55.833,52.5,243.433,87.827,45.413
114,1991-12,FRESNO.A,0.054,56.679,34.929,3.393,49.357,46.536,156.929,88.896,46.839
115,1992-01,FRESNO.A,0.066,48.533,35.6,3.4,48.433,46.833,112.9,98.917,70.863
116,1992-02,FRESNO.A,0.114,65.172,44.759,4.69,54.207,51.345,243.517,91.655,41.579
117,1992-03,FRESNO.A,0.054,67.581,47.516,4.161,59.0,56.484,359.258,90.429,36.223
118,1992-04,FRESNO.A,0.003,78.533,50.1,5.167,65.933,61.867,540.867,81.113,20.377
119,1992-05,FRESNO.A,0.0,88.194,58.742,5.645,78.129,73.194,628.968,69.752,25.245
120,1992-06,FRESNO.A,0.0,88.367,60.467,6.033,80.2,76.1,660.133,69.427,28.107
121,1992-07,FRESNO.A,0.0,93.607,62.607,5.571,79.679,76.0,657.857,70.164,26.886
122,1992-08,FRESNO.A,0.0,96.452,62.71,4.484,80.613,77.194,595.645,68.781,20.081
123,1992-09,FRESNO.A,0.0,91.5,57.333,4.0,76.6,73.833,488.033,76.597,24.297
124,1992-10,FRESNO.A,0.0,85.75,52.25,3.625,72.062,69.688,391.125,80.638,27.306
125,1992-11,FRESNO.A,0.0,64.176,38.412,2.941,59.294,57.882,208.706,94.929,44.912
126,1992-12,FRESNO.A,0.081,53.935,36.129,4.194,53.613,52.161,162.871,96.081,63.152
127,1993-01,FRESNO.A,0.194,55.387,40.29,4.419,52.323,51.0,148.0,97.394,71.942
128,1993-02,FRESNO.A,0.101,61.929,41.679,4.214,54.143,52.536,253.25,95.071,53.979
129,1993-03,FRESNO.A,0.06,70.839,48.0,4.0,60.323,57.484,372.581,96.706,53.577
130,1993-04,FRESNO.A,0.005,72.967,46.5,5.767,63.8,60.333,551.867,91.907,40.173
131,1993-05,FRESNO.A,0.01,82.71,53.548,5.903,70.839,66.516,632.387,82.455,28.39
132,1993-06,FRESNO.A,0.009,88.033,57.6,6.067,76.3,72.3,678.1,78.89,27.11
133,1993-07,FRESNO.A,0.0,92.355,61.065,5.29,78.516,74.645,706.871,77.126,27.348
134,1993-08,FRESNO.A,0.0,92.387,60.774,5.032,78.419,75.903,612.097,81.09,25.9
135,1993-09,FRESNO.A,0.0,89.933,55.833,4.033,74.833,71.7,514.3,83.23,26.847
136,1993-10,FRESNO.A,0.003,80.645,51.419,3.258,69.29,66.903,344.323,90.745,37.858
137,1993-11,FRESNO.A,0.03,66.6,38.733,3.267,59.633,57.733,244.567,92.703,40.883
138,1993-12,FRESNO.A,0.035,53.645,36.452,3.355,53.323,52.323,153.387,98.219,70.048
139,1994-01,FRESNO.A,0.043,58.226,35.613,3.194,51.452,50.0,188.903,98.503,62.532
140,1994-02,FRESNO.A,0.071,60.679,38.321,4.0,52.179,50.393,264.929,97.121,54.025
141,1994-03,FRESNO.A,0.017,70.903,44.806,4.355,59.452,56.516,430.419,94.642,47.042
142,1994-04,FRESNO.A,0.051,74.333,48.0,5.233,63.867,61.1,516.567,89.997,38.957
143,1994-05,FRESNO.A,0.046,79.194,53.839,5.452,71.097,66.581,588.226,88.052,37.703
144,1994-06,FRESNO.A,0.0,90.9,57.7,6.033,75.567,70.833,720.733,70.527,22.12
