Station,Date,Time,Precip,type,Air max,min,obs,Wx,Wind dir,speed,Bulb wet,dry,Soil max,min,Evap,Solar,ETo,RH max,min
MERCED.A,19990309,2359,0.14,,59,35,,,NE,5,,,54,49,,405,0.09,96.9,41.1
MERCED.A,19990310,2359,0,,58,33,,,NE,3,,,53,46,,372,0.09,98,46.9
MERCED.A,19990311,2359,0,,61,37,,,NE,6,,,54,47,,463,0.13,100,41.5
MERCED.A,19990312,2359,0,,66,31,,,NE,3,,,55,46,,471,0.11,100,41.8
MERCED.A,19990313,2359,0,,72,34,,,SE,3,,,55,46,,408,0.11,100,40.9
MERCED.A,19990314,2359,0,,63,37,,,NE,4,,,53,47,,257,0.06,100,47.7
MERCED.A,19990315,2359,0,,57,44,,,NE,6,,,53,50,,174,0.04,94.3,69.8
MERCED.A,19990316,2359,0,,57,37,,,S,4,,,54,51,,180,0.04,99.7,66.1
MERCED.A,19990317,2359,0,,66,32,,,NE,2,,,55,47,,481,0.11,100,52.6
MERCED.A,19990318,2359,0,,69,37,,,SE,3,,,56,47,,427,0.11,100,54.5
MERCED.A,19990319,2359,0.01,,65,44,,,NE,5,,,55,50,,277,0.09,100,51.7
MERCED.A,19990320,2359,0.26,,62,43,,,SE,6,,,55,50,,349,0.09,97,54.5
MERCED.A,19990321,2359,0,,67,45,,,NE,4,,,57,51,,413,0.11,92.7,45.2
MERCED.A,19990322,2359,0,,67,36,,,NE,4,,,56,49,,451,0.13,100,46
MERCED.A,19990323,2359,0.02,,66,42,,,NE,3,,,57,52,,358,0.09,99.7,56.8
MERCED.A,19990324,2359,0,,73,38,,,SE,6,,,57,49,,407,0.14,100,36.5
MERCED.A,19990325,2359,0.04,,71,51,,,NE,5,,,59,54,,449,0.13,97.5,49.3
MERCED.A,19990326,2359,0,,68,48,,,NE,9,,,59,54,,534,0.15,95.4,55.3
MERCED.A,19990327,2359,0,,64,41,,,NE,10,,,58,52,,545,0.18,85,31.4
MERCED.A,19990328,2359,0,,65,36,,,NE,6,,,57,50,,547,0.16,91.6,36.3
